S. No.,Date,Region,Confirmed_Cases,Active_Cases,Cured,Death,Death_Rate,Growth_Rate
2020,8/30/2020,Delhi,171366,14040,152922,4404,15,490
2021,8/31/2020,Delhi,173390,14793,154171,4426,22,753
2022,9/1/2020,Delhi,174748,14626,155678,4444,18,-167
2023,9/2/2020,Delhi,177060,15870,156728,4462,18,1244
2024,9/3/2020,Delhi,179569,16502,158586,4481,19,632
2025,9/4/2020,Delhi,182306,17692,160114,4500,19,1190
2026,9/5/2020,Delhi,185220,18842,161865,4513,13,1150
2027,9/6/2020,Delhi,188193,19870,163785,4538,25,1028
2028,9/7/2020,Delhi,191449,20909,165973,4567,29,1039
2029,9/8/2020,Delhi,193526,20543,168384,4599,32,-366
2030,9/9/2020,Delhi,197135,22377,170140,4618,19,1834
2031,9/10/2020,Delhi,201174,23773,172763,4638,20,1396
2032,9/11/2020,Delhi,205482,25416,175400,4666,28,1643
2033,9/12/2020,Delhi,209748,26907,178154,4687,21,1491
2034,9/13/2020,Delhi,214069,28059,181295,4715,28,1152
2035,9/14/2020,Delhi,218304,28812,184748,4744,29,753
2036,9/15/2020,Delhi,221533,28641,188122,4770,26,-171
2037,9/16/2020,Delhi,225796,29787,191203,4806,36,1146
2038,9/17/2020,Delhi,230269,30914,194516,4839,33,1127
2039,9/18/2020,Delhi,234701,31721,198103,4877,38,807
2040,9/19/2020,Delhi,238828,32250,201671,4907,30,529
2041,9/20/2020,Delhi,242899,32064,205890,4945,38,-186
2042,9/21/2020,Delhi,246711,32097,209632,4982,37,33
2043,9/22/2020,Delhi,249259,30941,213304,5014,32,-1156
2044,9/23/2020,Delhi,253075,31623,216401,5051,37,682
2045,9/24/2020,Delhi,256789,30836,220866,5087,36,-787
2046,9/25/2020,Delhi,260623,31125,224375,5123,36,289
2047,9/26/2020,Delhi,264450,30867,228436,5147,24,-258
2048,9/27/2020,Delhi,267822,29717,232912,5193,46,-1150
2049,9/28/2020,Delhi,271114,29228,236651,5235,42,-489
2050,9/29/2020,Delhi,273098,27123,240703,5272,37,-2105
2051,9/30/2020,Delhi,276325,27524,243481,5320,48,401
2052,10/1/2020,Delhi,279715,26908,247446,5361,41,-616
2053,10/2/2020,Delhi,282752,26738,250613,5401,40,-170
2054,10/3/2020,Delhi,285672,26450,253784,5438,37,-288
2055,10/4/2020,Delhi,287930,25234,257224,5472,34,-1216
2056,10/5/2020,Delhi,290613,24753,260350,5510,38,-481
2057,10/6/2020,Delhi,292560,23080,263938,5542,32,-1673
2058,10/7/2020,Delhi,295236,22720,266935,5581,39,-360
2059,10/8/2020,Delhi,298107,22186,270305,5616,35,-534
2060,10/9/2020,Delhi,300833,22232,272948,5653,37,46
2061,10/10/2020,Delhi,303693,21955,276046,5692,39,-277
2062,10/11/2020,Delhi,306559,22007,278812,5740,48,52
2063,10/12/2020,Delhi,309339,21701,281869,5769,29,-306
2064,10/13/2020,Delhi,311188,20535,284844,5809,40,-1166
2065,10/14/2020,Delhi,314224,21490,286880,5854,45,955
2066,10/15/2020,Delhi,317548,21903,289747,5898,44,413
2067,10/16/2020,Delhi,321031,22605,292502,5924,26,702
2068,10/17/2020,Delhi,324459,22814,295699,5946,22,209
2069,10/18/2020,Delhi,327718,22884,298853,5981,35,70
2070,3/26/2020,Goa,3,3,0,0,0,3
2071,3/27/2020,Goa,3,3,0,0,0,0
2072,3/28/2020,Goa,3,3,0,0,0,0
2073,3/29/2020,Goa,3,3,0,0,0,0
2074,3/30/2020,Goa,5,5,0,0,0,2
2075,3/31/2020,Goa,5,5,0,0,0,0
2076,4/1/2020,Goa,5,5,0,0,0,0
2077,4/2/2020,Goa,5,5,0,0,0,0
2078,4/3/2020,Goa,6,6,0,0,0,1
2079,4/4/2020,Goa,6,6,0,0,0,0
2080,4/5/2020,Goa,7,7,0,0,0,1
2081,4/6/2020,Goa,7,7,0,0,0,0
2082,4/7/2020,Goa,7,7,0,0,0,0
2083,4/8/2020,Goa,7,7,0,0,0,0
2084,4/9/2020,Goa,7,7,0,0,0,0
2085,4/10/2020,Goa,7,7,0,0,0,0
2086,4/11/2020,Goa,7,6,1,0,0,-1
2087,4/12/2020,Goa,7,2,5,0,0,-4
2088,4/13/2020,Goa,7,2,5,0,0,0
2089,4/14/2020,Goa,7,2,5,0,0,0
2090,4/15/2020,Goa,7,2,5,0,0,0
2091,4/16/2020,Goa,7,2,5,0,0,0
2092,4/17/2020,Goa,7,1,6,0,0,-1
2093,4/18/2020,Goa,7,1,6,0,0,0
2094,4/19/2020,Goa,7,1,6,0,0,0
2095,4/20/2020,Goa,7,0,7,0,0,-1
2096,4/21/2020,Goa,7,0,7,0,0,0
2097,4/22/2020,Goa,7,0,7,0,0,0
2098,4/23/2020,Goa,7,0,7,0,0,0
2099,4/24/2020,Goa,7,0,7,0,0,0
2100,4/25/2020,Goa,7,0,7,0,0,0
2101,4/26/2020,Goa,7,0,7,0,0,0
2102,4/27/2020,Goa,7,0,7,0,0,0
2103,4/28/2020,Goa,7,0,7,0,0,0
2104,4/29/2020,Goa,7,0,7,0,0,0
2105,4/30/2020,Goa,7,0,7,0,0,0
2106,5/1/2020,Goa,7,0,7,0,0,0
2107,5/2/2020,Goa,7,0,7,0,0,0
2108,5/3/2020,Goa,7,0,7,0,0,0
2109,5/4/2020,Goa,7,0,7,0,0,0
2110,5/5/2020,Goa,7,0,7,0,0,0
2111,5/6/2020,Goa,7,0,7,0,0,0
2112,5/7/2020,Goa,7,0,7,0,0,0
2113,5/8/2020,Goa,7,0,7,0,0,0
2114,5/9/2020,Goa,7,0,7,0,0,0
2115,5/10/2020,Goa,7,0,7,0,0,0
2116,5/11/2020,Goa,7,0,7,0,0,0
2117,5/12/2020,Goa,7,0,7,0,0,0
2118,5/13/2020,Goa,7,0,7,0,0,0
2119,5/14/2020,Goa,7,0,7,0,0,0
2120,5/15/2020,Goa,14,7,7,0,0,7
2121,5/16/2020,Goa,15,8,7,0,0,1
2122,5/17/2020,Goa,17,10,7,0,0,2
2123,5/18/2020,Goa,29,22,7,0,0,12
2124,5/19/2020,Goa,38,31,7,0,0,9
2125,5/20/2020,Goa,46,39,7,0,0,8
2126,5/21/2020,Goa,50,43,7,0,0,4
2127,5/22/2020,Goa,52,45,7,0,0,2
2128,5/23/2020,Goa,54,38,16,0,0,-7
2129,5/24/2020,Goa,55,39,16,0,0,1
2130,5/25/2020,Goa,66,47,19,0,0,8
2131,5/26/2020,Goa,67,48,19,0,0,1
2132,5/27/2020,Goa,67,39,28,0,0,-9
2133,5/28/2020,Goa,68,31,37,0,0,-8
2134,5/29/2020,Goa,69,31,38,0,0,0
2135,5/30/2020,Goa,69,28,41,0,0,-3
2136,5/31/2020,Goa,70,29,41,0,0,1
2137,6/1/2020,Goa,70,28,42,0,0,-1
2138,6/2/2020,Goa,71,29,42,0,0,1
2139,6/3/2020,Goa,79,22,57,0,0,-7
2140,6/4/2020,Goa,79,22,57,0,0,0
2141,6/5/2020,Goa,166,109,57,0,0,87
2142,6/6/2020,Goa,196,131,65,0,0,22
2143,6/7/2020,Goa,267,202,65,0,0,71
2144,6/8/2020,Goa,300,235,65,0,0,33
2145,6/9/2020,Goa,330,263,67,0,0,28
2146,6/10/2020,Goa,359,292,67,0,0,29
2147,6/11/2020,Goa,387,320,67,0,0,28
2148,6/12/2020,Goa,417,350,67,0,0,30
2149,6/13/2020,Goa,463,394,69,0,0,44
2150,6/14/2020,Goa,523,453,70,0,0,59
2151,6/15/2020,Goa,564,490,74,0,0,37
2152,6/16/2020,Goa,592,507,85,0,0,17
2153,6/17/2020,Goa,629,544,85,0,0,37
2154,6/18/2020,Goa,656,560,96,0,0,16
2155,6/19/2020,Goa,705,596,109,0,0,36
2156,6/20/2020,Goa,725,607,118,0,0,11
2157,6/21/2020,Goa,754,625,129,0,0,18
2158,6/22/2020,Goa,754,625,129,0,0,0
2159,6/23/2020,Goa,864,711,152,1,1,86
2160,6/24/2020,Goa,909,703,205,1,0,-8
2161,6/25/2020,Goa,951,660,289,2,1,-43
2162,6/26/2020,Goa,995,658,335,2,0,-2
2163,6/27/2020,Goa,1039,667,370,2,0,9
2164,6/28/2020,Goa,1128,706,420,2,0,39
2165,6/29/2020,Goa,1198,717,478,3,1,11
2166,6/30/2020,Goa,1198,717,478,3,0,0
2167,7/1/2020,Goa,1315,716,596,3,0,-1
2168,7/2/2020,Goa,1387,713,670,4,1,-3
2169,7/3/2020,Goa,1482,744,734,4,0,31
2170,7/4/2020,Goa,1482,744,734,4,0,0
2171,7/5/2020,Goa,1684,853,825,6,2,109
2172,7/6/2020,Goa,1761,818,936,7,1,-35
2173,7/7/2020,Goa,1813,745,1061,7,0,-73
2174,7/8/2020,Goa,1903,739,1156,8,1,-6
2175,7/9/2020,Goa,2039,824,1207,8,0,85
2176,7/10/2020,Goa,2151,869,1273,9,1,45
2177,7/11/2020,Goa,2251,895,1347,9,0,26
2178,7/12/2020,Goa,2368,928,1428,12,3,33
2179,7/13/2020,Goa,2453,952,1487,14,2,24
2180,7/14/2020,Goa,2583,1026,1540,17,3,74
2181,7/15/2020,Goa,2753,1128,1607,18,1,102
2182,7/16/2020,Goa,2951,1259,1674,18,0,131
2183,7/17/2020,Goa,3108,1272,1817,19,1,13
2184,7/18/2020,Goa,3304,1337,1946,21,2,65
2185,7/19/2020,Goa,3484,1425,2038,21,0,88
2186,7/20/2020,Goa,3657,1417,2218,22,1,-8
2187,7/21/2020,Goa,3853,1469,2361,23,1,52
2188,7/22/2020,Goa,4027,1552,2449,26,3,83
2189,7/23/2020,Goa,4176,1607,2541,28,2,55
2190,7/24/2020,Goa,4350,1666,2655,29,1,59
2191,7/25/2020,Goa,4540,1646,2865,29,0,-20
2192,7/26/2020,Goa,4686,1606,3047,33,4,-40
2193,7/27/2020,Goa,4861,1549,3277,35,2,-57
2194,7/28/2020,Goa,5119,1673,3410,36,1,124
2195,7/29/2020,Goa,5287,1656,3595,36,0,-17
2196,7/30/2020,Goa,5489,1666,3784,39,3,10
2197,7/31/2020,Goa,5704,1657,4005,42,3,-9
2198,8/1/2020,Goa,5913,1657,4211,45,3,0
2199,8/2/2020,Goa,6193,1707,4438,48,3,50
2200,8/3/2020,Goa,6530,1809,4668,53,5,102
2201,8/4/2020,Goa,6816,1884,4876,56,3,75
2202,8/5/2020,Goa,7075,1901,5114,60,4,17
2203,8/6/2020,Goa,7423,2072,5287,64,4,171
2204,8/7/2020,Goa,7614,2095,5453,66,2,23
2205,8/8/2020,Goa,7947,2282,5595,70,4,187
2206,8/9/2020,Goa,8206,2332,5802,72,2,50
2207,8/10/2020,Goa,8712,2642,5995,75,3,310
2208,8/11/2020,Goa,9029,2741,6208,80,5,99
2209,8/12/2020,Goa,9444,2878,6480,86,6,137
2210,8/13/2020,Goa,9924,3194,6641,89,3,316
2211,8/14/2020,Goa,10494,3491,6912,91,2,297
2212,8/15/2020,Goa,10970,3720,7157,93,2,229
2213,8/16/2020,Goa,11339,3753,7488,98,5,33
2214,8/17/2020,Goa,11639,3760,7775,104,6,7
2215,8/18/2020,Goa,11994,3825,8058,111,7,65
2216,8/19/2020,Goa,12333,3861,8356,116,5,36
2217,8/20/2020,Goa,12675,3838,8713,124,8,-23
2218,8/21/2020,Goa,13099,3910,9063,126,2,72
2219,8/22/2020,Goa,13484,3809,9540,135,9,-101
2220,8/23/2020,Goa,13790,3631,10019,140,5,-178
2221,8/24/2020,Goa,13999,3383,10472,144,4,-248
2222,8/25/2020,Goa,14138,3081,10909,148,4,-302
2223,8/26/2020,Goa,14530,3149,11224,157,9,68
2224,8/27/2020,Goa,15027,3351,11511,165,8,202
2225,8/28/2020,Goa,15483,3445,11867,171,6,94
2226,8/29/2020,Goa,16006,3535,12296,175,4,90
2227,8/30/2020,Goa,16553,3646,12729,178,3,111
2228,8/31/2020,Goa,17004,3635,13186,183,5,-11
2229,9/1/2020,Goa,17418,3649,13577,192,9,14
2230,9/2/2020,Goa,18006,3962,13850,194,2,313
2231,9/3/2020,Goa,18642,4379,14059,204,10,417
2232,9/4/2020,Goa,19355,4782,14361,212,8,403
2233,9/5/2020,Goa,19863,4896,14747,220,8,114
2234,9/6/2020,Goa,20455,4945,15281,229,9,49
2235,9/7/2020,Goa,20829,4754,15839,236,7,-191
2236,9/8/2020,Goa,21173,4501,16427,245,9,-253
2237,9/9/2020,Goa,21630,4499,16875,256,11,-2
2238,9/10/2020,Goa,22251,4833,17156,262,6,334
2239,9/11/2020,Goa,22890,5030,17592,268,6,197
2240,9/12/2020,Goa,23445,5104,18065,276,8,74
2241,9/13/2020,Goa,24185,5323,18576,286,10,219
2242,9/14/2020,Goa,24592,5173,19129,290,4,-150
2243,9/15/2020,Goa,24898,4946,19648,304,14,-227
2244,9/16/2020,Goa,25511,5102,20094,315,11,156
2245,9/17/2020,Goa,26139,5375,20445,319,4,273
2246,9/18/2020,Goa,26783,5612,20844,327,8,237
2247,9/19/2020,Goa,27379,5730,21314,335,8,118
2248,9/20/2020,Goa,28022,5920,21760,342,7,190
2249,9/21/2020,Goa,28429,5781,22297,351,9,-139
2250,9/22/2020,Goa,28753,5667,22726,360,9,-114
2251,9/23/2020,Goa,29343,5513,23462,368,8,-154
2252,9/24/2020,Goa,29879,5646,23857,376,8,133
2253,9/25/2020,Goa,30552,5822,24347,383,7,176
2254,9/26/2020,Goa,31071,5614,25071,386,3,-208
2255,9/27/2020,Goa,31574,5424,25759,391,5,-190
2256,9/28/2020,Goa,31958,5097,26460,401,10,-327
2257,9/29/2020,Goa,32396,4917,27072,407,6,-180
2258,9/30/2020,Goa,32777,4577,27781,419,12,-340
2259,10/1/2020,Goa,33418,4865,28125,428,9,288
2260,10/2/2020,Goa,33942,4977,28525,440,12,112
2261,10/3/2020,Goa,34455,5009,29004,442,2,32
2262,10/4/2020,Goa,34900,4923,29527,450,8,-86
2263,10/5/2020,Goa,35328,4839,30033,456,6,-84
2264,10/6/2020,Goa,35719,4803,30456,460,4,-36
2265,10/7/2020,Goa,36238,4720,31050,468,8,-83
2266,10/8/2020,Goa,36670,4749,31444,477,9,29
2267,10/9/2020,Goa,37102,4716,31902,484,7,-33
2268,10/10/2020,Goa,37591,4783,32317,491,7,67
2269,10/11/2020,Goa,37934,4658,32777,499,8,-125
2270,10/12/2020,Goa,38366,4656,33203,507,8,-2
2271,10/13/2020,Goa,38674,4465,33698,511,4,-191
2272,10/14/2020,Goa,39082,4316,34252,514,3,-149
2273,10/15/2020,Goa,39438,4188,34731,519,5,-128
2274,10/16/2020,Goa,39770,4084,35161,525,6,-104
2275,10/17/2020,Goa,40091,3950,35610,531,6,-134
2276,10/18/2020,Goa,40400,3827,36035,538,7,-123
2277,3/20/2020,Gujarat,2,2,0,0,0,2
2278,3/21/2020,Gujarat,7,7,0,0,0,5
2279,3/22/2020,Gujarat,18,17,0,1,1,10
2280,3/23/2020,Gujarat,29,28,0,1,0,11
2281,3/24/2020,Gujarat,29,28,0,1,0,0
2282,3/25/2020,Gujarat,33,32,0,1,0,4
2283,3/26/2020,Gujarat,38,36,0,2,1,4
2284,3/27/2020,Gujarat,43,40,0,3,1,4
2285,3/28/2020,Gujarat,45,42,0,3,0,2
2286,3/29/2020,Gujarat,53,49,0,4,1,7
2287,3/30/2020,Gujarat,58,52,1,5,1,3
2288,3/31/2020,Gujarat,73,64,3,6,1,12
2289,4/1/2020,Gujarat,74,63,5,6,0,-1
2290,4/2/2020,Gujarat,82,71,5,6,0,8
2291,4/3/2020,Gujarat,87,72,8,7,1,1
2292,4/4/2020,Gujarat,95,76,10,9,2,4
2293,4/5/2020,Gujarat,105,81,14,10,1,5
2294,4/6/2020,Gujarat,122,93,18,11,1,12
2295,4/7/2020,Gujarat,144,110,22,12,1,17
2296,4/8/2020,Gujarat,165,127,25,13,1,17
2297,4/9/2020,Gujarat,179,138,25,16,3,11
2298,4/10/2020,Gujarat,241,198,26,17,1,60
2299,4/11/2020,Gujarat,308,258,31,19,2,60
2300,4/12/2020,Gujarat,432,366,44,22,3,108
2301,4/13/2020,Gujarat,516,447,44,25,3,81
2302,4/14/2020,Gujarat,539,459,54,26,1,12
2303,4/15/2020,Gujarat,650,563,59,28,2,104
2304,4/16/2020,Gujarat,766,669,64,33,5,106
2305,4/17/2020,Gujarat,930,821,73,36,3,152
2306,4/18/2020,Gujarat,1099,972,86,41,5,151
2307,4/19/2020,Gujarat,1376,1230,93,53,12,258
2308,4/20/2020,Gujarat,1743,1575,105,63,10,345
2309,4/21/2020,Gujarat,1939,1737,131,71,8,162
2310,4/22/2020,Gujarat,2178,1949,139,90,19,212
2311,4/23/2020,Gujarat,2407,2125,179,103,13,176
2312,4/24/2020,Gujarat,2624,2254,258,112,9,129
2313,4/25/2020,Gujarat,2815,2423,265,127,15,169
2314,4/26/2020,Gujarat,3071,2656,282,133,6,233
2315,4/27/2020,Gujarat,3301,2837,313,151,18,181
2316,4/28/2020,Gujarat,3548,2992,394,162,11,155
2317,4/29/2020,Gujarat,3744,3129,434,181,19,137
2318,4/30/2020,Gujarat,4082,3358,527,197,16,229
2319,5/1/2020,Gujarat,4395,3568,613,214,17,210
2320,5/2/2020,Gujarat,4721,3750,735,236,22,182
2321,5/3/2020,Gujarat,5054,3896,896,262,26,146
2322,5/4/2020,Gujarat,5428,4096,1042,290,28,200
2323,5/5/2020,Gujarat,5804,4290,1195,319,29,194
2324,5/6/2020,Gujarat,6245,4496,1381,368,49,206
2325,5/7/2020,Gujarat,6625,4729,1500,396,28,233
2326,5/8/2020,Gujarat,7012,4878,1709,425,29,149
2327,5/9/2020,Gujarat,7402,5081,1872,449,24,203
2328,5/10/2020,Gujarat,7796,5233,2091,472,23,152
2329,5/11/2020,Gujarat,8194,5156,2545,493,21,-77
2330,5/12/2020,Gujarat,8541,5248,2780,513,20,92
2331,5/13/2020,Gujarat,8903,5120,3246,537,24,-128
2332,5/14/2020,Gujarat,9267,5139,3562,566,29,19
2333,5/15/2020,Gujarat,9591,5252,3753,586,20,113
2334,5/16/2020,Gujarat,9931,5290,4035,606,20,38
2335,5/17/2020,Gujarat,10988,6055,4308,625,19,765
2336,5/18/2020,Gujarat,11379,6221,4499,659,34,166
2337,5/19/2020,Gujarat,11745,6247,4804,694,35,26
2338,5/20/2020,Gujarat,12140,6378,5043,719,25,131
2339,5/21/2020,Gujarat,12537,6569,5219,749,30,191
2340,5/22/2020,Gujarat,12905,6644,5488,773,24,75
2341,5/23/2020,Gujarat,13268,6586,5880,802,29,-58
2342,5/24/2020,Gujarat,13664,6666,6169,829,27,80
2343,5/25/2020,Gujarat,14056,6786,6412,858,29,120
2344,5/26/2020,Gujarat,14460,6936,6636,888,30,150
2345,5/27/2020,Gujarat,14821,6767,7139,915,27,-169
2346,5/28/2020,Gujarat,15195,6708,7549,938,23,-59
2347,5/29/2020,Gujarat,15562,6599,8003,960,22,-109
2348,5/30/2020,Gujarat,15934,6343,8611,980,20,-256
2349,5/31/2020,Gujarat,16343,6106,9230,1007,27,-237
2350,6/1/2020,Gujarat,16779,5822,9919,1038,31,-284
2351,6/2/2020,Gujarat,17200,5357,10780,1063,25,-465
2352,6/3/2020,Gujarat,17617,4631,11894,1092,29,-726
2353,6/4/2020,Gujarat,18100,4766,12212,1122,30,135
2354,6/5/2020,Gujarat,18584,4762,12667,1155,33,-4
2355,6/6/2020,Gujarat,19094,4901,13003,1190,35,139
2356,6/7/2020,Gujarat,19592,5057,13316,1219,29,156
2357,6/8/2020,Gujarat,20070,5186,13635,1249,30,129
2358,6/9/2020,Gujarat,20545,5309,13956,1280,31,123
2359,6/10/2020,Gujarat,21014,5336,14365,1313,33,27
2360,6/11/2020,Gujarat,21521,5439,14735,1347,34,103
2361,6/12/2020,Gujarat,22032,5546,15101,1385,38,107
2362,6/13/2020,Gujarat,22527,5619,15493,1415,30,73
2363,6/14/2020,Gujarat,23038,5707,15883,1448,33,88
2364,6/15/2020,Gujarat,23544,5742,16325,1477,29,35
2365,6/16/2020,Gujarat,24055,5886,16664,1505,28,144
2366,6/17/2020,Gujarat,24577,5962,17082,1533,28,76
2367,6/18/2020,Gujarat,25093,6103,17430,1560,27,141
2368,6/19/2020,Gujarat,25601,6191,17819,1591,31,88
2369,6/20/2020,Gujarat,26141,6364,18159,1618,27,173
2370,6/21/2020,Gujarat,26680,6348,18694,1638,20,-16
2371,6/22/2020,Gujarat,27260,6248,19349,1663,25,-100
2372,6/23/2020,Gujarat,27825,6232,19909,1684,21,-16
2373,6/24/2020,Gujarat,28371,6148,20513,1710,26,-84
2374,6/25/2020,Gujarat,28943,6120,21088,1735,25,-28
2375,6/26/2020,Gujarat,29520,6269,21498,1753,18,149
2376,6/27/2020,Gujarat,30095,6294,22030,1771,18,25
2377,6/28/2020,Gujarat,30709,6511,22409,1789,18,217
2378,6/29/2020,Gujarat,31320,6712,22800,1808,19,201
2379,6/30/2020,Gujarat,31938,6871,23240,1827,19,159
2380,7/1/2020,Gujarat,32557,7049,23662,1846,19,178
2381,7/2/2020,Gujarat,33232,7335,24030,1867,21,286
2382,7/3/2020,Gujarat,33913,7434,24593,1886,19,99
2383,7/4/2020,Gujarat,34600,7763,24933,1904,18,329
2384,7/5/2020,Gujarat,35312,7981,25406,1925,21,218
2385,7/6/2020,Gujarat,36037,8202,25892,1943,18,221
2386,7/7/2020,Gujarat,36772,8497,26315,1960,17,295
2387,7/8/2020,Gujarat,37550,8853,26720,1977,17,356
2388,7/9/2020,Gujarat,38333,9051,27289,1993,16,198
2389,7/10/2020,Gujarat,39194,9468,27718,2008,15,417
2390,7/11/2020,Gujarat,40069,9900,28147,2022,14,432
2391,7/12/2020,Gujarat,40941,10260,28649,2032,10,360
2392,7/13/2020,Gujarat,41820,10613,29162,2045,13,353
2393,7/14/2020,Gujarat,42722,10897,29770,2055,10,284
2394,7/15/2020,Gujarat,43637,11065,30503,2069,14,168
2395,7/16/2020,Gujarat,44552,11187,31286,2079,10,122
2396,7/17/2020,Gujarat,45481,11289,32103,2089,10,102
2397,7/18/2020,Gujarat,46430,11351,32973,2106,17,62
2398,7/19/2020,Gujarat,47390,11233,34035,2122,16,-118
2399,7/20/2020,Gujarat,48355,11312,34901,2142,20,79
2400,7/21/2020,Gujarat,49353,11513,35678,2162,20,201
2401,7/22/2020,Gujarat,50379,11760,36423,2196,34,247
2402,7/23/2020,Gujarat,51399,11915,37260,2224,28,155
2403,7/24/2020,Gujarat,52477,12247,37978,2252,28,332
2404,7/25/2020,Gujarat,53545,12418,38849,2278,26,171
2405,7/26/2020,Gujarat,54626,12695,39631,2300,22,277
2406,7/27/2020,Gujarat,55822,13131,40365,2326,26,436
2407,7/28/2020,Gujarat,56874,13146,41380,2348,22,15
2408,7/29/2020,Gujarat,57982,13198,42412,2372,24,52
2409,7/30/2020,Gujarat,59126,13535,43195,2396,24,337
2410,7/31/2020,Gujarat,60285,13793,44074,2418,22,258
2411,8/1/2020,Gujarat,61438,14090,44907,2441,23,297
2412,8/2/2020,Gujarat,62463,14300,45699,2464,23,210
2413,8/3/2020,Gujarat,63562,14572,46504,2486,22,272
2414,8/4/2020,Gujarat,64585,14599,47478,2508,22,27
2415,8/5/2020,Gujarat,65599,14690,48376,2533,25,91
2416,8/6/2020,Gujarat,66669,14680,49433,2556,23,-10
2417,8/7/2020,Gujarat,67699,14766,50350,2583,27,86
2418,8/8/2020,Gujarat,68768,14443,51720,2605,22,-323
2419,8/9/2020,Gujarat,69869,14386,52855,2628,23,-57
2420,8/10/2020,Gujarat,70965,14147,54166,2652,24,-239
2421,8/11/2020,Gujarat,72031,14055,55304,2672,20,-92
2422,8/12/2020,Gujarat,73163,14024,56444,2695,23,-31
2423,8/13/2020,Gujarat,74318,14184,57421,2713,18,160
2424,8/14/2020,Gujarat,75408,14210,58467,2731,18,26
2425,8/15/2020,Gujarat,76480,14196,59538,2746,15,-14
2426,8/16/2020,Gujarat,77559,14241,60553,2765,19,45
2427,8/17/2020,Gujarat,78680,14383,61512,2785,20,142
2428,8/18/2020,Gujarat,79710,14315,62595,2800,15,-68
2429,8/19/2020,Gujarat,80802,14279,63703,2820,20,-36
2430,8/20/2020,Gujarat,81942,14282,64823,2837,17,3
2431,8/21/2020,Gujarat,83107,14308,65946,2853,16,26
2432,8/22/2020,Gujarat,84311,14177,67267,2867,14,-131
2433,8/23/2020,Gujarat,85523,14399,68243,2881,14,222
2434,8/24/2020,Gujarat,86624,14517,69212,2895,14,118
2435,8/25/2020,Gujarat,87691,14552,70231,2908,13,35
2436,8/26/2020,Gujarat,88805,14641,71236,2928,20,89
2437,8/27/2020,Gujarat,89994,14767,72282,2945,17,126
2438,8/28/2020,Gujarat,91179,14742,73475,2962,17,-25
2439,8/29/2020,Gujarat,92452,14951,74525,2976,14,209
2440,8/30/2020,Gujarat,93734,15109,75636,2989,13,158
2441,8/31/2020,Gujarat,95009,15272,76731,3006,17,163
2442,9/1/2020,Gujarat,96300,15524,77756,3020,14,252
2443,9/2/2020,Gujarat,97629,15708,78887,3034,14,184
2444,9/3/2020,Gujarat,98888,15913,79929,3046,12,205
2445,9/4/2020,Gujarat,100213,16096,81055,3062,16,183
2446,9/5/2020,Gujarat,101533,16184,82273,3076,14,88
2447,9/6/2020,Gujarat,102844,16334,83419,3091,15,150
2448,9/7/2020,Gujarat,104179,16443,84631,3105,14,109
2449,9/8/2020,Gujarat,105509,16482,85907,3120,15,39
2450,9/9/2020,Gujarat,106804,16319,87352,3133,13,-163
2451,9/10/2020,Gujarat,108133,16296,88688,3149,16,-23
2452,9/11/2020,Gujarat,109465,16198,90103,3164,15,-98
2453,9/12/2020,Gujarat,110809,16286,91343,3180,16,88
2454,9/13/2020,Gujarat,112174,16301,92678,3195,15,15
2455,9/14/2020,Gujarat,113500,16407,93883,3210,15,106
2456,9/15/2020,Gujarat,114834,16469,95138,3227,17,62
2457,9/16/2020,Gujarat,116183,16357,96582,3244,17,-112
2458,9/17/2020,Gujarat,117547,16262,98029,3256,12,-95
2459,9/18/2020,Gujarat,118926,15975,99681,3270,14,-287
2460,9/19/2020,Gujarat,120336,16076,100974,3286,16,101
2461,9/20/2020,Gujarat,121768,16022,102444,3302,16,-54
2462,9/21/2020,Gujarat,123175,16208,103648,3319,17,186
2463,9/22/2020,Gujarat,124605,16305,104964,3336,17,97
2464,9/23/2020,Gujarat,126007,16370,106285,3352,16,65
2465,9/24/2020,Gujarat,127379,16438,107574,3367,15,68
2466,9/25/2020,Gujarat,128787,16327,109079,3381,14,-111
2467,9/26/2020,Gujarat,130229,16478,110358,3393,12,151
2468,9/27/2020,Gujarat,131646,16463,111777,3406,13,-15
2469,9/28/2020,Gujarat,133057,16633,113008,3416,10,170
2470,9/29/2020,Gujarat,134461,16689,114344,3428,12,56
2471,9/30/2020,Gujarat,135842,16676,115727,3439,11,-13
2472,10/1/2020,Gujarat,137232,16683,117099,3450,11,7
2473,10/2/2020,Gujarat,138583,16690,118433,3460,10,7
2474,10/3/2020,Gujarat,139893,16735,119683,3475,15,45
2475,10/4/2020,Gujarat,141236,16762,120987,3487,12,27
2476,10/5/2020,Gujarat,142538,16809,122233,3496,9,47
2477,10/6/2020,Gujarat,143865,16718,123638,3509,13,-91
2478,10/7/2020,Gujarat,145200,16570,125111,3519,10,-148
2479,10/8/2020,Gujarat,146673,16485,126657,3531,12,-85
2480,10/9/2020,Gujarat,147789,16465,127786,3538,7,-20
2481,10/10/2020,Gujarat,149032,16181,129304,3547,9,-284
2482,10/11/2020,Gujarat,150253,15936,130760,3557,10,-245
2483,10/12/2020,Gujarat,151434,15695,132173,3566,9,-241
2484,10/13/2020,Gujarat,152603,15414,133615,3574,8,-281
2485,10/14/2020,Gujarat,153761,15187,134990,3584,10,-227
2486,10/15/2020,Gujarat,154936,14937,136404,3595,11,-250
